cod;rubro;eq1;eq2;marca;modelo;detalle;descripcion;venta;costo;fecha
269;BIELETA;MAY785;700032;RENAULT;R18;;Bieleta delantera;1.350,00;1.000,00;2023-04-10
270;BIELETA;JR024;700047;RENAULT;Sandero;;Bieleta delantera;945,00;700,00;2023-04-10
271;BIELETA;JR015;;RENAULT;Torino;;Bieleta delantera derecha;1.890,00;1.400,00;2023-04-10
272;BIELETA;JR016;;RENAULT;Torino;;Bieleta delantera izquierda;1.890,00;1.400,00;2023-04-10
273;BIELETA;60128;700022;RENAULT;Trafic;;Bieleta Delantera;1.485,00;1.100,00;2023-04-10
274;BIELETA;JR018;700042;RENAULT;Twingo;;Bieleta delantera izquierda;3.295,00;2.440,00;2023-05-03
275;BIELETA;JR019;700043;RENAULT;Twingo;;Bieleta delantera izquierda;3.295,00;2.440,00;2023-05-03
276;BIELETA;JT503;700069;TOYOTA;Camry;Año 91/96;Bieleta delantera;3.175,00;2.350,00;2023-05-03
277;BIELETA;JT503;700069;TOYOTA;Corolla;Año 92/97;Bieleta delantera;3.175,00;2.350,00;2023-05-03
278;BIELETA;JT504;700075;TOYOTA;Corolla;Año 97/01;Bieleta delantera;3.400,00;2.520,00;2023-05-03
279;BIELETA;JT505;700081;TOYOTA;Corolla;Año 02/07;Bieleta delantera;3.310,00;2.450,00;2023-05-03
280;BIELETA;JT506;700116;TOYOTA;Corolla;Año 08/…;Bieleta delantera;4.185,00;3.100,00;2023-05-03
281;BIELETA;JT507;700114;TOYOTA;Corolla;Año 92/02;Bieleta trasera;3.375,00;2.500,00;2023-05-03
